Relocatable heap version 4 found at 0x2f000000
total space allocated is 236M, with 234M relocatable, 2.3M legacy and 0 offline
1 legacy blocks of size 2359296

free list at 0x3d97d260
183M free memory in 6 free block(s)
largest free block is 183M bytes

0x2f000000: legacy block 2.3M
0x2f240000: free 183M
[ 233] 0x3a94b160: used 352K (refcount 1 lock count 0, size   360192, align  256, data 0x3a94b200, d3Rual) 'CABAC output'
[  27] 0x3a9a3180: used  88K (refcount 1 lock count 0, size    90176, align   32, data 0x3a9a31a0, d0Rual) 'Vdec3 Msgbuf'
[ 334] 0x3a9b9200: used  69K (refcount 1 lock count 0, size    70400, align    4, data 0x3a9b9220, d1Rual) 'H264 dm_storage'
[ 142] 0x3a9ca540: used  992 (refcount 2 lock count 0, size      924, align    4, data 0x3a9ca560, d0rual) 'VG_SERVER_STATE_T'
[ 336] 0x3a9ca920: used 2.1K (refcount 1 lock count 0, size     2048, align    4, data 0x3a9ca940, d0rual) 'KHRN_MAP_T.storage'
[ 332] 0x3a9cb160: used 619K (refcount 1 lock count 0, size   629376, align 4096, data 0x3a9cc000, d1Rual) 'KHRN_IMAGE_T.storage'
[ 341] 0x3aa65c00: used 619K (refcount 1 lock count 0, size   629376, align 4096, data 0x3aa66000, d1Rual) 'KHRN_IMAGE_T.storage'
[ 338] 0x3ab006a0: used 619K (refcount 1 lock count 0, size   629376, align 4096, data 0x3ab01000, d1Rual) 'KHRN_IMAGE_T.storage'
[ 325] 0x3ab9b140: used  192 (refcount 2 lock count 0, size      116, align    4, data 0x3ab9b160, d0rual) 'EGL_SERVER_SURFACE_T'
[ 330] 0x3ab9b200: used   64 (refcount 1 lock count 0, size        0, align   32, data 0x3ab9b220, d3ruAl) 'khdispatch_readahead'
[   6] 0x3ab9b240: used 1.0M (refcount 1 lock count 0, size  1048576, align   32, data 0x3ab9b260, d3ruAl) 'khdispatch_workspace'
[ 327] 0x3ac9b280: used   96 (refcount 1 lock count 0, size       22, align    1, data 0x3ac9b2a0, d1rual) 'khrn_hw_null_render'
[ 331] 0x3ac9b2e0: used  160 (refcount 1 lock count 0, size       96, align    4, data 0x3ac9b300, d0rual) 'KHRN_MAP_64_T.storage'
[ 328] 0x3ac9b380: used  576 (refcount 1 lock count 0, size      512, align    4, data 0x3ac9b3a0, d0rual) 'KHRN_MAP_T.storage'
[   8] 0x3ac9b5c0: used 1.1K (refcount 1 lock count 0, size     1024, align    4, data 0x3ac9b5e0, d0rual) 'KHRN_PID_MAP_T.storage'
[ 326] 0x3ac9ba00: used  576 (refcount 1 lock count 0, size      512, align    4, data 0x3ac9ba20, d0rual) 'KHRN_MAP_T.storage'
[ 333] 0x3ac9bc40: used  576 (refcount 1 lock count 0, size      512, align    4, data 0x3ac9bc60, d0rual) 'KHRN_MAP_T.storage'
[  24] 0x3ac9be80: used  576 (refcount 1 lock count 0, size      512, align    4, data 0x3ac9bea0, d0rual) 'KHRN_MAP_T.storage'
[ 110] 0x3ac9c0c0: used  544 (refcount 1 lock count 0, size      256, align  256, data 0x3ac9c100, d3rual) 'H264 dummy data partition'
0x3ac9c2e0: free 32K
[  54] 0x3aca4320: used 1.0M (refcount 1 lock count 0, size  1048576, align  256, data 0x3aca4400, d3Rual) 'Vdec3 CDB'
[ 108] 0x3ada4440: used  17K (refcount 1 lock count 0, size    17424, align   32, data 0x3ada4460, d0Rual) 'H264 PPS'
[ 107] 0x3ada88a0: used 2.3K (refcount 1 lock count 0, size     2240, align   32, data 0x3ada88c0, d0Rual) 'H264 SPS'
[ 106] 0x3ada91a0: used 394K (refcount 1 lock count 0, size   399520, align 4096, data 0x3adaa000, d1ruAL) 'video_decodeRIL:image pool'
[ 105] 0x3ae0ba60: used 394K (refcount 1 lock count 0, size   399520, align 4096, data 0x3ae0c000, d1ruaL) 'video_decodeRIL:image pool'
