# players4cams.py working for a while
# $ sudo vcdbg reloc - returns:

Relocatable heap version 4 found at 0x2f000000
total space allocated is 236M, with 234M relocatable, 2.3M legacy and 0 offline
1 legacy blocks of size 2359296

free list at 0x3d97c840
173M free memory in 5 free block(s)
largest free block is 173M bytes

0x2f000000: legacy block 2.3M
0x2f240000: free 173M
[ 567] 0x39f04c00: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x39f04c20, d3ruAl) 'RIL buffer'
[ 353] 0x39f0cc40: used 8.1K (refcount 1 lock count 0, size     8192, align   32, data 0x39f0cc60, d3rual) 'RIL buffer'
[ 375] 0x39f0ec80: used 8.1K (refcount 1 lock count 0, size     8192, align   32, data 0x39f0eca0, d0ruAl) 'audio_mixer_tmp_rc'
[ 400] 0x39f10cc0: used 8.1K (refcount 1 lock count 0, size     8192, align   32, data 0x39f10ce0, d0ruAl) 'audio_mixer_tmp_dr'
[ 403] 0x39f12d00: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x39f12d20, d3ruAl) 'RIL buffer'
[ 296] 0x39f1ad40: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x39f1ad60, d3ruAl) 'RIL buffer'
[ 710] 0x39f22d80: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x39f22da0, d3ruAl) 'RIL buffer'
[  46] 0x39f2adc0: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x39f2ade0, d3ruAl) 'RIL buffer'
[ 667] 0x39f32e00: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x39f32e20, d3ruAl) 'RIL buffer'
[ 652] 0x39f3ae40: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x39f3ae60, d3ruAl) 'RIL buffer'
[ 597] 0x39f42e80: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x39f42ea0, d3ruAl) 'RIL buffer'
[ 121] 0x39f4aec0: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x39f4aee0, d3ruAl) 'RIL buffer'
[ 733] 0x39f52f00: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x39f52f20, d3ruAl) 'RIL buffer'
[  36] 0x39f5af40: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x39f5af60, d3ruAl) 'RIL buffer'
[  76] 0x39f62f80: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x39f62fa0, d3ruAl) 'RIL buffer'
[  39] 0x39f6afc0: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x39f6afe0, d3ruAl) 'RIL buffer'
[ 562] 0x39f73000: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x39f73020, d3ruAl) 'RIL buffer'
[ 329] 0x39f7b040: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x39f7b060, d3ruAl) 'RIL buffer'
[ 638] 0x39f83080: used  32K (refcount 1 lock count 0, size    32768, align   32, data 0x39f830a0, d3ruAl) 'RIL buffer'
[  62] 0x39f8b0c0: used  64K (refcount 1 lock count 0, size    65536, align   32, data 0x39f8b0e0, d0rual) 'pcmdec_tmp'
[  26] 0x39f9b100: used  64K (refcount 1 lock count 0, size    65536, align   32, data 0x39f9b120, d1ruAl) 'RIL buffer'
[ 338] 0x39fab140: used  64K (refcount 1 lock count 0, size    65536, align   32, data 0x39fab160, d0rual) 'pcmdec_out'
[ 741] 0x39fbb180: used 431K (refcount 1 lock count 0, size   441600, align    4, data 0x39fbb1a0, d1Rual) 'H264 dm_storage'
[  45] 0x3a026ec0: used 619K (refcount 1 lock count 0, size   629376, align 4096, data 0x3a027000, d1Rual) 'KHRN_IMAGE_T.storage'
[ 758] 0x3a0c1960: used 619K (refcount 1 lock count 0, size   629376, align 4096, data 0x3a0c2000, d1Rual) 'KHRN_IMAGE_T.storage'
[ 703] 0x3a15c400: used 619K (refcount 1 lock count 0, size   629376, align 4096, data 0x3a15d000, d1Rual) 'KHRN_IMAGE_T.storage'
